platform,title,url,budget_min,budget_max,budget_currency,budget_type,skills,category,posted_date,full_description,description_snippet
Freelancer.com,Backyard Landscape Plan & Renderings,https://www.freelancer.com/projects/landscape-design/backyard-landscape-plan-renderings,22.0,183.0,USD,fixed,2D Drafting | 2D Drawing | 3D Design | 3D Rendering | 3D Visualization | Architectural Visualization | AutoCAD | Building Architecture | Interior Design | Landscape Design,,,,"I’m ready to turn my property into a true entertainment hub and I need professionally drawn plans that capture every feature to scale. The finished package should include a clean, dimension-accurate site plan plus life-like aerial and eye-level persp"
Freelancer.com,Private project or contest #40424614,https://www.freelancer.com/login?goto=YThiYWI1ZmU4ZGQ0NjYxMjE3OTk2MGFkYmFkNmIwNzdodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9wcm9qZWN0cy9hcnRpY2xlcy9kaXNzZXJ0YXRpb24tY29tcGV0ZW5jZS1qb2Itc2F0aXNmYWN0aW9u,,,,unknown,Article Writing | Data Collection | Educational Research | Qualitative Research | Report Writing | Research | Research Writing | Statistical Analysis,,,,PleaseSign UporLoginto see details.
Freelancer.com,"Performance Ads Expert Needed (Meta, Google & CRM Integration)",https://www.freelancer.com/projects/google-ads/performance-ads-expert-needed-meta,63.0,63.0,USD,fixed,CRM | Digital Marketing | Facebook Ads | Google Ads | Internet Marketing | Lead Generation | Leads | PHP | Sales | Social Video Marketing,,,,"Our agency is ready to scale a residential real-estate account and I need a partner who can own the entire paid-ads-to-CRM pipeline. Both Facebook/Instagram and Google Ads have worked well for us in the past, so you will be expected to split test acr"
Freelancer.com,Salesforce Data Import Specialist,https://www.freelancer.com/projects/crm/salesforce-data-import-specialist,27.0,27.0,USD,fixed,CRM | Data Analysis | Data Entry | Data Management | Data Processing | Excel | Salesforce App Development | Salesforce.com,,,,"I need help importing data into Salesforce from CSV files. The data includes:

  - Contacts
  - Leads
  - Opportunities

The dataset is between 1,000 to 10,000 records. 

Ideal skills and experience:
  - Proficiency in Salesforce
  - Experience with "
Freelancer.com,AI Content Generator Development,https://www.freelancer.com/projects/ai-chatbot-development/content-generator-development,462.0,462.0,USD,fixed,AI Chatbot Development | AI Content Creation | AI Development | AI Model Development | AI Writing | Artificial Intelligence | CSS | HTML | HTML5 | JavaScript,,,,"<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"" />
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0""/>
  <title>AI Content Generator</title>

  <style>
    *{
      margin:0;
      padding:0;
      box-sizing:bor"
Freelancer.com,DaVinci Resolve Training Edits,https://www.freelancer.com/projects/da-vinci-resolve/davinci-resolve-training-edits,65.0,65.0,USD,fixed,Audio Editing | DaVinci Resolve | Editing | Video Editing | Video Post-editing | Video Processing | Video Production | Video Services,,,,"I have a series of raw screen-recordings and talking-head clips that form a software training course. I need an experienced DaVinci Resolve editor to turn this footage into polished, learner-friendly modules.

The workflow is straightforward:
• Trim "
Freelancer.com,Translate Manual: English to Nepali -- 2,https://www.freelancer.com/projects/nepali-translator/translate-manual-english-nepali,300.0,300.0,USD,fixed,Copy Typing | Copywriting | Editing | English (US) Translator | English Translation | Nepali Translator | Proofreading | Technical Translation | Technical Writing | Translation,,,,"I have a manual written in English that needs to be presented to a Nepali-speaking audience. The entire text has to move over into Nepali while retaining its formal tone, technical terminology, and every bit of its existing layout—headings, bullet po"
Freelancer.com,Experienced Claude Code Developer needed,https://www.freelancer.com/projects/ai-hw-sw/experienced-claude-code-developer-needed,16.0,16.0,USD,fixed,AI (Artificial Intelligence) HW/SW | AI Agents | Claude Code | Model Context Protocol (MCP) | Next.js | OpenAI | Prompt Engineering | Python,,,,"**Job Title:** Experienced Claude Code Developer for AI Agent Platform (Vozlia)

**Project Overview:**
I'm building Vozlia, an AI agent platform, and need a skilled developer to work alongside me as a coding partner. Since I work a full-time job, I n"
Freelancer.com,Translate Manual: English to Nepali,https://www.freelancer.com/projects/editing/translate-manual-english-nepali,250.0,250.0,USD,fixed,Editing | English (US) Translator | English Translation | Nepali Translator | Proofreading | Technical Translation | Technical Writing | Translation,,,,"I have a manual written in English that needs to be presented to a Nepali-speaking audience. The entire text has to move over into Nepali while retaining its formal tone, technical terminology, and every bit of its existing layout—headings, bullet po"
Freelancer.com,Unique Modern Construction Logo Design,https://www.freelancer.com/contest/unique-modern-construction-logo-design-2736532,35.0,35.0,USD,fixed,Adobe Illustrator | Adobe Photoshop | Branding | Graphic Design | Illustrator | Logo Design | Photoshop | Vector Design,,,,"I need a fresh, memorable logo for my new company, Ground Up Construction. Think clean, sleek, elegant and unmistakably modern, yet different from the over-used hard-hat or skyline clichés you see everywhere. The brand colours are set—navy #0B1F3B, g"
Freelancer.com,Scan-to-BIM MEP Modeling,https://www.freelancer.com/projects/revit/scan-bim-mep-modeling,20.0,20.0,USD,fixed,3D Modelling | Architectural Rendering | Architecture | AutoCAD | Autodesk Revit | Building Information Modeling | CAD/CAM | Construction Management | Revit | Solidworks,,,,"I have existing scan data for a healthcare project (PCH) and need a clean, well-organized BIM model that focuses on the mechanical, electrical, and plumbing disciplines. The scans capture the as-built conditions; your task is to interpret that inform"
Freelancer.com,Marketing Product Demonstration Video Creation,https://www.freelancer.com/projects/motion-graphics/marketing-product-demonstration-video,281.0,281.0,USD,fixed,Adobe Premiere Pro | Animation | Final Cut Pro | Motion Graphics | Video Editing | Video Production | Video Services | Voice Over,,,,"I’m ready to roll out a series of crisp, persuasive product-demonstration videos that spotlight key features, solve buyer objections, and drive conversions across our website, email funnels, and social channels. Each clip needs to feel authentic and "
Freelancer.com,Personal Brand PR Scaling,https://www.freelancer.com/projects/articles/personal-brand-scaling,36.0,36.0,USD,fixed,Article Writing | Brand Management | Content Marketing | Content Strategy | Content Writing | Copywriting | Creative Writing | Media Relations | Public Relations | Social Media Marketing,,,,"I am seeking a freelance PR expert to move my profile from 850 followers to a national authority. I want to be the household name for ""Healthy Ageing"" and ""Functional Grit"" in Australia.


Secure features in major Australian press (The SMH, Daily Tel"
Freelancer.com,Google Play Game Upload,https://www.freelancer.com/projects/android-app-development/google-play-game-upload,24.0,24.0,USD,fixed,Android App Development | App Design | App Publication | App Reskin | App Store Optimization | Game Design | Game Development | Mobile App Development | Mobile App Testing | Mobile Development,,,,"I have an unfinished project that I am still working on, and I need someone who can help me publish it on Google Play. However, my account already has a limited number of projects uploaded. What I would like is for you to select one of the existing p"
Freelancer.com,Custom Logo for Rent-Break Website,https://www.freelancer.com/contest/custom-logo-for-rentbreak-website-2736529,30.0,30.0,USD,fixed,Branding | Creative Design | Graphic Design | Illustration | Illustrator | Logo Design | Photoshop | Visual Design,,,,"I need a logo for my website. take a look at it here:     The colors are #F5F5F2
#D9D4CC
#B08D57
#2D3136
#6D1F2F
#4A0F1A   I would like the final logo outlined in gold around the logo. The concept of this service is to give people a financial break f"
Freelancer.com,Monthly SEO for Shopify Store,https://www.freelancer.com/projects/shopify-site/monthly-seo-for-shopify-store,26.0,26.0,USD,fixed,Analytics | Competitor Analysis | Internet Marketing | Keyword Research | Link Building | Marketing | SEO | Shopify,,,,"I run an e-commerce shop on Shopify and I’m setting aside a steady $30 each month for ongoing SEO. The site already ranks for a few terms, but I have a mixed keyword list that still needs expansion and refinement, so keyword research and gap analysis"
Freelancer.com,"Creative Solutions - Design, Media, Data entry, writing, and Content Creation",https://www.freelancer.com/projects/video-editing/creative-solutions-design-media-data,11.0,11.0,USD,fixed,Branding | Content Creation | Copywriting | Creative Writing | Graphic Design | Logo Design | Photo Editing | Social Media Marketing | Video Editing | Voice Over,,,,"•Turning Vision Into Value: Creative Solutions for Your Next Project
Are you looking for a creative partner who combines technical versatility with a fresh, dedicated perspective?
For years, I have been honing a diverse suite of creative skills behin"
Freelancer.com,Premium App Icon needed – BMX/Pump Track Locator (PTL),https://www.freelancer.com/contest/premium-app-icon-needed-ndash-bmxpump-track-locator-ptl-2736527,25.0,25.0,USD,fixed,Adobe Illustrator | Adobe Photoshop | App Design | App Development | Graphic Design | Icon Design | Logo Design | UI / User Interface | User Interface / IA | Vector Design,,,,"Project Title: Professional App Icon Refinement (STRICT TECHNICAL REQUIREMENTS)

Overview:
We are seeking a precision-focused graphic designer to finalize an app icon for a high-end mobile application. We are looking for professional quality, not gen"
Freelancer.com,Fuzzy logic doubts,https://www.freelancer.com/projects/teaching-lecturing/fuzzy-logic-doubts,2.0,2.0,USD,fixed,Algorithm | Engineering | Mathematics | Matlab and Mathematica | Teaching/Lecturing,,,,Fuzzy logic tutoring on doubts.
Freelancer.com,Agentic AI Engineer to help optimize our media monitoring stack,https://www.freelancer.com/projects/agentic-ai/agentic-engineer-help-optimize-our,24.0,24.0,USD,fixed,Agentic AI | AI Agents | AI Development | AI Model Development | AI Research | AI Text-to-text | Data Scraping | Natural Language Understanding | Social Networking,,,,"Agentic AI Engineer — Optimize Our Media Monitoring Stack (Policy / Public Affairs)

About the Role

We run a media monitoring operation in the public policy space and need an experienced agentic AI engineer to help us **optimize an existing stack** "
Freelancer.com,Online Discussion,https://www.freelancer.com/projects/technical-writing/online-discussion,15.0,15.0,USD,fixed,Report Writing | Technical Writing,,,,"Read the information in the pictures. read, follow instructions, and reply."
Freelancer.com,Cinematic Insta360 Kitesurfing Edit,https://www.freelancer.com/projects/color-grading/cinematic-insta-kitesurfing-edit,100.0,100.0,USD,fixed,360-degree video | Adobe Premiere Pro | After Effects | Animation | Color Grading | Final Cut Pro | Video Editing | Video Production,,,,"I’ve captured hours of kitesurfing footage on an Insta360 X3 and now need a skilled editor to turn it into a cinematic showcase. You’ll be working with raw 5.7-K 360° clips, selecting the best angles through key-framing, using FlowState stabilization"
Freelancer.com,Dissertation Editing for Doctoral Readiness,https://www.freelancer.com/projects/academic-writing/dissertation-editing-for-doctoral,330.0,330.0,USD,fixed,Academic Writing | Copy Editing | Editing | Proofreading | Research | Research Writing | Technical Writing | Writing Tutoring,,,,"I'm seeking a skilled dissertation editor to prepare my doctoral dissertation for committee review. Your expertise will ensure my work meets high academic standards.

Key requirements include:
- APA 7 Formatting: Ensure accurate citations, references"
Freelancer.com,Game Data Retrieval API,https://www.freelancer.com/projects/api-developmet/game-data-retrieval-api,640.0,640.0,USD,fixed,Android | API Development | Backend Development | Data Management | Game Development | Java | Mobile App Development | PHP,,,,"I am looking for a developer or a development team to create a professional VTC management system for ETS2/ATS as a web-based platform with a driver panel, administration panel, and telemetry integration connected to user accounts.

The system should"
Freelancer.com,Audit Corporate Website for AI Search,https://www.freelancer.com/projects/web-development/audit-corporate-website-for-search,145.0,145.0,USD,fixed,AI Chatbot | AI Content Creation | Content Strategy | Internet Marketing | Link Building | Search Engine Marketing | SEO | Web Development,,,,"I need a detailed, plain-English audit that tells me whether my corporate site is truly friendly to AI-driven search on Google. Please crawl and analyse the pages, structured data, content layout, internal linking, and any technical signals that matt"
Freelancer.com,Convert Sketches to Fusion 360,https://www.freelancer.com/projects/fusion-360/convert-sketches-fusion,100.0,100.0,USD,fixed,3D Design | 3D Drafting | 3D Modelling | 3D Printing | 3D Rendering | CAD/CAM | Fusion 360,,,,"I have a set of hand-drawn sketches for several 3D-printed woodworking templates and jigs that I now need recreated inside Autodesk Fusion 360. Once the models are in Fusion I’ll be able to tweak, nest, and export them for printing on my own, so accu"
Freelancer.com,Drawing Congo Real Estate Drawings,https://www.freelancer.com/projects/electrical-engineering/drawing-congo-real-estate-drawings,5276.0,5276.0,USD,fixed,Architectural Engineering | Architecture | Civil Engineering | Construction Engineering | Electrical Engineering | Electronic Design | Engineering Drawing | HVAC | Plumbing | Real Estate,,,,"I will soon issue a full drawing package—over 1000 m²—for a new development in the Republic of Congo.  If you are a full-case designer or Agency who can undertake the construction drawings of building structures, HVAC, and electricity, you can also c"
Freelancer.com,Gen Z Oriented T-Shirt Slogan Copywriter,https://www.freelancer.com/projects/graphic-design/gen-oriented-shirt-slogan-copywriter-40419265,376.0,376.0,USD,fixed,Advertising | Branding | Content Writing | Copywriting | Creative Writing | Digital Marketing | Graphic Design | Logo Design | Slogans | T-Shirts,,,,"You are a professional copywriter hired by a modern youth-focused T-shirt brand. Your goal is to write creative, catchy, and memorable slogans, taglines, and ad captions for their new clothing line.

This T-shirt brand mainly targets Gen Z and young "
Freelancer.com,I need a writer,https://www.freelancer.com/projects/article-rewriting/need-writer-35816149,19.0,19.0,USD,fixed,Article Rewriting | Article Writing | Content Writing | Research Writing | Technical Writing,,,,"Making choices about sentence boundaries:

Post a paragraph of writing you have done recently. 

Example of completed assignment under “Example of an initial post”"
Freelancer.com,I need a writer - 23/01/2023 04:53 EST,https://www.freelancer.com/projects/article-rewriting/need-writer-est,20.0,20.0,USD,fixed,Article Rewriting | Article Writing | Content Writing | Research Writing | Technical Writing,,,,"Making choices about sentence boundaries:

Post a paragraph of writing you have done recently. 

Example of completed assignment under “Example of an initial post”"
Freelancer.com,Fix Search System Glitch on Health Directory Website,https://www.freelancer.com/projects/html/fix-search-system-glitch-health,170.0,170.0,USD,fixed,HTML | JavaScript | MySQL | PHP | WordPress,,,,"I need a skilled developer to fix a glitch in the search system on my health directory website in Australia. Currently, when no results are found, the system redirects users to a random location instead of retaining the location they provided. The go"
Freelancer.com,Streetwear & Casual Apparel Designs,https://www.freelancer.com/contest/streetwear-amp-casual-apparel-designs-2736520,190.0,190.0,USD,fixed,Creative Design | Fashion Consulting | Fashion Design | Fashion Modeling | Fashion Writing | Graphic Design | Logo Design | T-Shirts,,,,"I'm seeking a talented designer to create unique and trendy designs for my brand. Initially, I need designs for hats, with plans to expand to shirts, pants, and gym apparel.

Requirements:
- Designs for casual, streetwear, and gym apparel styles
- Or"
