platform,title_raw,title_clean,cleaned_text,full_description,tokens,token_count,budget_extracted,budget_currency,budget_type,skills_clean,category_clean,posted_date
Freelancer.com,Backyard Landscape Plan & Renderings,backyard landscape plan renderings 2d drafting 2d drawing 3d design 3d rendering 3d visualization architectural visualiz,backyard landscape plan renderings 2d drafting 2d drawing 3d design 3d rendering 3d visualization architectural visualization autocad building architecture interior design landscape design,,backyard | landscape | plan | renderings | 2d | drafting | 2d | drawing | 3d | design | 3d | rendering | 3d | visualization | architectural | visualization | autocad | building | architecture | interior | design | landscape | design,23,102.5,USD,fixed,2d drafting | 2d drawing | 3d design | 3d rendering | 3d visualization | architectural visualization | autocad | building architecture | interior design | landscape design,,
Freelancer.com,Private project or contest #40424614,private project contest 40424614 article writing data collection educational research qualitative research report writin,private project contest 40424614 article writing data collection educational research qualitative research report writing research research writing statistical analysis,,private | project | contest | 40424614 | article | writing | data | collection | educational | research | qualitative | research | report | writing | research | research | writing | statistical | analysis,19,,,unknown,article writing | data collection | educational research | qualitative research | report writing | research | research writing | statistical analysis,,
Freelancer.com,"Performance Ads Expert Needed (Meta, Google & CRM Integration)",performance ads expert needed meta google crm integration crm digital marketing facebook ads google ads internet marketi,performance ads expert needed meta google crm integration crm digital marketing facebook ads google ads internet marketing lead generation leads php sales social video marketing,,performance | ads | expert | needed | meta | google | crm | integration | crm | digital | marketing | facebook | ads | google | ads | internet | marketing | lead | generation | leads | php | sales | social | video | marketing,25,63.0,USD,fixed,crm | digital marketing | facebook ads | google ads | internet marketing | lead generation | leads | php | sales | social video marketing,,
Freelancer.com,Salesforce Data Import Specialist,salesforce data import specialist crm data analysis data entry data management data processing excel salesforce app deve,salesforce data import specialist crm data analysis data entry data management data processing excel salesforce app development salesforce.com,,salesforce | data | import | specialist | crm | data | analysis | data | entry | data | management | data | processing | excel | salesforce | app | development | salesforce.com,18,27.0,USD,fixed,crm | data analysis | data entry | data management | data processing | excel | salesforce app development | salesforce.com,,
Freelancer.com,AI Content Generator Development,ai content generator development ai chatbot development ai content creation ai development ai model development ai writi,ai content generator development ai chatbot development ai content creation ai development ai model development ai writing artificial intelligence css html html5 javascript,,ai | content | generator | development | ai | chatbot | development | ai | content | creation | ai | development | ai | model | development | ai | writing | artificial | intelligence | css | html | html5 | javascript,23,462.0,USD,fixed,ai chatbot development | ai content creation | ai development | ai model development | ai writing | artificial intelligence | css | html | html5 | javascript,,
Freelancer.com,DaVinci Resolve Training Edits,davinci resolve training edits audio editing davinci resolve editing video editing video post-editing video processing v,davinci resolve training edits audio editing davinci resolve editing video editing video post-editing video processing video production video services,,davinci | resolve | training | edits | audio | editing | davinci | resolve | editing | video | editing | video | post-editing | video | processing | video | production | video | services,19,65.0,USD,fixed,audio editing | davinci resolve | editing | video editing | video post-editing | video processing | video production | video services,,
Freelancer.com,Translate Manual: English to Nepali -- 2,translate manual english nepali -- copy typing copywriting editing english us translator english translation nepali tran,translate manual english nepali -- copy typing copywriting editing english us translator english translation nepali translator proofreading technical translation technical writing translation,,translate | manual | english | nepali | -- | copy | typing | copywriting | editing | english | us | translator | english | translation | nepali | translator | proofreading | technical | translation | technical | writing | translation,22,300.0,USD,fixed,copy typing | copywriting | editing | english us translator | english translation | nepali translator | proofreading | technical translation | technical writing | translation,,
Freelancer.com,Experienced Claude Code Developer needed,experienced claude code developer needed ai artificial intelligence hw sw ai agents claude code model context protocol m,experienced claude code developer needed ai artificial intelligence hw sw ai agents claude code model context protocol mcp next.js openai prompt engineering python,,experienced | claude | code | developer | needed | ai | artificial | intelligence | hw | sw | ai | agents | claude | code | model | context | protocol | mcp | next.js | openai | prompt | engineering | python,23,16.0,USD,fixed,ai artificial intelligence hw sw | ai agents | claude code | model context protocol mcp | next.js | openai | prompt engineering | python,,
Freelancer.com,Translate Manual: English to Nepali,translate manual english nepali editing english us translator english translation nepali translator proofreading technic,translate manual english nepali editing english us translator english translation nepali translator proofreading technical translation technical writing translation,,translate | manual | english | nepali | editing | english | us | translator | english | translation | nepali | translator | proofreading | technical | translation | technical | writing | translation,18,250.0,USD,fixed,editing | english us translator | english translation | nepali translator | proofreading | technical translation | technical writing | translation,,
Freelancer.com,Unique Modern Construction Logo Design,unique modern construction logo design adobe illustrator adobe photoshop branding graphic design illustrator logo design,unique modern construction logo design adobe illustrator adobe photoshop branding graphic design illustrator logo design photoshop vector design,,unique | modern | construction | logo | design | adobe | illustrator | adobe | photoshop | branding | graphic | design | illustrator | logo | design | photoshop | vector | design,18,35.0,USD,fixed,adobe illustrator | adobe photoshop | branding | graphic design | illustrator | logo design | photoshop | vector design,,
